code_activity,name_activity,ar_name_activity
60202,Technicien dépanneur petits électroménagers,تقني مصلح أجهزة كهربائية منزلية صغيرة
60201,Technicien dépanneur gros électroménagers,تقني مصلح أجهزة كهربائية منزلية كبيرة
60105,Technicien de maintenance en appareils électroménagers,تقني في الصيانة للأجهزة الكهربائية المنزلية
60104,Responsable service après-vente-SAVen électroménager,مسؤول مصلحة ما بعد البيع في أجهزة كهربائية منزلية
60103,"Réparateur en télévision, hi-fi",فني صيانة تلفزيون وأجهزة صوت عالية الوضوح
60102,Réparateur en électroménager,فني صيانة أجهزة كهربائية منزلية
60101,Réparateur de matériels photographiques,مصلح معدات التصوير الفوتوغرافي
50303,Réparateur de machines à coudre,مصلح آلات الخياطة
50302,Réparateur d'appareils photographiques,مصلح أجهزة تصوير فوتوغرافي
50301,"Dépanneur en télévision, hi-fi",مصلح تلفزيون وأجهزة صوت عالية الوضوح
50208,Dépanneur en électroménager,مصلح في مجال الأجهزة الكهربائية المنزلية
50207,Dépanneur d'équipements électroménager brun,مصلح أجهزة كهربائية منزلية داكنة
50206,Dépanneur d'équipements électroménager blanc,مصلح أجهزة كهربائية منزلية بيضاء
50205,Dépanneur d'appareils électroménagers,مصلح أجهزة كهربائية منزلية
50204,Technicien support en systèmes téléinformatiques,تقني دعم في مجال أنظمة الاتصالات عن بُعد
50203,Technicien support en bureautique,تقني دعم في مجال التكنولوجيا المكتبية
50202,Technicien en téléassistance en informatique,تقني في تقديم الدعم عن بُعد في مجال تكنولوجيا المعلومات
50201,Technicien en réseau local informatique,تقني في شبكات الحوسبة المحلية
50107,Technicien de service après-vente-SAVen bureautique,تقني خدمة ما بعد البيع (SAV) في مجال التكنولوجيا المكتبية
50106,Technicien de maintenance en matériels informatiques,تقني صيانة في مجال تكنولوجيا المعدات المعلوماتية
50105,Technicien de maintenance en matériel de bureau,تقني صيانة في مجال تكنولوجيا معدات المكتب
50104,Technicien de maintenance en informatique,تقني صيانة في مجال تكنولوجيا المعلومات
50103,Technicien de maintenance en bureautique,تقني صيانة في مجال التكنولوجيا المكتبية
50102,Technicien de maintenance de systèmes informatiques,تقني صيانة أنظمة المعلومات
50101,Technicien de maintenance de réseaux télématiques,تقني صيانة الشبكات التليماتيكية
40304,Technicien de maintenance de réseaux informatiques,تقني صيانة الشبكات المعلوماتية
40303,Support aux utilisateurs en informatique,دعم لمستخدمي تكنولوجيا المعلومات
40302,Superviseur help desk en informatique,مشرف في المساعدة المعلوماتية
40301,Responsable micro-informatique,مسؤول الإعلام الآلي
40218,Responsable centre d'appels en maintenance informatique,مسؤول مركز الاتصال في الصيانة المعلوماتية
40217,Agent de maintenance sur télécopieurs,عون صيانة معدات النسخ
40216,Agent de maintenance sur systèmes d'impression et de reprographie,عون صيانة أنظمة الطبع والنسخ
40215,Agent de maintenance en informatique,عون صيانة أنظمة المعلومات
40214,Agent de maintenance en bureautique,عون الصيانة المكتبية
40213,Agent de maintenance de matériels de reprographie,عون صيانة معدات الطبع
40212,Agent de maintenance de machines de bureau,عون صيانة آلات المكتب
40211,Coach sportif,مدرب رياضي
40210,Paysagiste,منسق الحدائق
40209,Jardinier(ère),بستاني
40208,Assistant(e) aux rendez-vous médicaux,مساعد(ة) في المواعيد الطبية
40207,Aide aux courses,مساعد(ة)  في التسوق
40206,Chauffeur(se) de personnes,سائق(ة) للأفراد
40205,Coach scolaire,مدرب مدرسي
40204,Tuteur(trice) scolaire,معلم(ة) خصوصي(ة) مدرسي(ة)
40203,Enseignant(e) particulier(e),مدرس(ة) خصوصي(ة)
40202,Livraison de repas à domicile,توصيل الوجبات إلى المنزل
40201,Chef à domicile,شَيف منزلي
40122,Cuisinier(ère) à domicile,طباخ(ة) منزلي(ة)
40121,Kinésithérapeute,أخصائي في العلاج طبيعي
40120,Ergothérapeute,أخصائي في العلاج الوظيفي
40119,Assistant(e) de vie,مساعد(ة) في الحياة
40118,Accompagnateur/trice de personnes à mobilité réduite,مرافق/مرافقة للأشخاص ذوي الحركة المحدودة
40117,Accompagnateur/trice de personnes âgées,مرافق/مرافقة لكبار السن
40116,Aide à domicile,مساعد منزلي
40115,Infirmier(ère) à domicile,ممرض/ممرضة منزلية
40114,Aide-soignant(e),ممرض/ممرضة مساعدة
40113,Auxiliaire de vie,مُرَافِق(ة) في الحَيَاة
40112,Garde d'enfants malades,رعاية الأطفال المرضى
40111,Garde d'enfants partagée,رعاية الأطفال المشتركة
40110,Auxiliaire parentale,مساعدة الوالدين في رعاية الأطفال
40109,Garde d'enfants,جليسة أطفال
40108,Gérant(e) de résidence Airbnb ou autre plateforme de location de logements,مسير خدمات الاسكان أو أي منصة أخرى لتأجير أماكن الإقامة
40107,Gestionnaire de réseaux sociaux pour des entreprises en ligne,مسير وسائل التواصل الاجتماعي لشركات عبر الإنترنت
40106,Designer de produits sur des plateformes de crowdsourcing,مصمم منتجات على منصات التسويق التشاركي
40105,Rédacteur(trice) / copywritter,كاتب / كاتب نصوص ترويجية
40104,Graphiste freelance ,مصمم جرافيك مستقل
40103,Technicien(ne) informatique à domicile,تقني في المعلوماتية عن بعد
40102,Téléconseiller(ère) pour les plateformes de services en ligne,مستشار هاتفي لمنصات الخدمة عبر الإنترنت
40101,Chargé(e) de la logistique d'une entreprise de livraison,مكلف باللوجستيات في شركة توصيل
31002,Coursier(e) à moto,ساعي بواسطة دراجة نارية
31001,Livreur à vélo ou à scooter,عامل توصيل بالدراجة أو السكوتر
30904,Chauffeur VTC (voiture de transport avec chauffeur),سائق VTC (سيارة نقل مع سائق)
30903,Webmaster,رئيس مواقع الويب (ويب ماستر)
30902,Administrateur système informatique,مسؤول عن إدارة النظام المعلوماتي
30901,Administrateur sécurité informatique,مسؤول عن إدارة الأمن الإعلامي
30801,Administrateur réseauxtélécoms,مسؤول عن إدارة شبكات الاتصالات
30703,Administrateur réseau informatique,مسؤول عن إدارة الشبكات الإعلامية
30702,Administrateur de site Web,مسؤول عن إدارة مواقع الويب
30701,Administrateur de site internet,مسؤول عن إدارة مواقع الإنترنت
30603,Administrateur de serveurs,مسؤول عن إدارة الخوادم
30602,Administrateur de la messagerie,مسؤول عن إدارة البريد الإلكتروني
30601,Administrateur de bases de données,مسؤول عن إدارة قواعد المعطيات نظام المعلومات
30504,Technicien système informatique,تقني في النظام المعلوماتي
30503,Technicien réseau informatique,تقني في الشبكة المعلوماتية
30502,Technicien informatique,تقني في الإعلام الآلي
30501,Technicien d'exploitation système informatique,تقني تشغيل النظام المعلوماتي
30404,Ingénieur support exploitation informatique,مهندس في وسائل استغلال الإعلام الآلي
30403,Ingénieur exploitation système informatique,مهندس في استغلال النظام المعلوماتي
30402,Ingénieur d'exploitation informatique,مهندس تشغيل الإعلام الآلي
30401,Gestionnaire du parc informatique,مسير تجهيزات الإعلام الآلي
30303,Gestionnaire de ressources matérielles informatiques,مسير الموارد المادية في الإعلام الآلي
30302,Exploitant réseau informatique,مشغل الشبكة المعلوماتية
30301,Exploitant informatique,مشغل في الإعلام الآلي
30208,Chef de salle informatique,رئيس قاعة الإعلام الآلي
30207,Testeur informatique,مختبر في الإعلام الآلي
30206,Technicien programmation,تقني برمجة
30205,Responsable d'étude informatique,مسؤول الدراسات في المعلوماتية
30204,Responsable des développements informatiques,مسؤول التطوير في المعلوماتية
30203,Responsable de projet informatique,مسؤول المشروع المعلوماتي
30202,Responsable d'atelier de génie logiciel,مسؤول عن ورشة هندسة البرمجيات
30201,Responsable d'application informatique,مسؤول عن التطبيقات في الإعلام الآلي
30104,Programmeur jeux vidéo,مبرمج ألعاب الفيديو
30103,Programmeur informatique,مبرمج في الإعلام الآلي
30102,Paramétreur logiciel ERP,واضع معالم برنامج تخطيط موارد ERP المؤسسة
30101,Lead programmeur jeux vidéo,مبرمج رئيسي في الألعاب الفيديو
21914,Intégrateur de développement informatique,مدمج في تطوير الإعلام الآلي
21913,Intégrateur d'application informatique,مدمج تطبيقات الإعلام الآلي
21912,Ingénieur test composants informatique,مهندس اختبار مكونات الإعلام الآلي
21911,Ingénieur intégration-validation informatique,مهندس في إدماج مكونات الإعلام الآلي
21910,Ingénieur informaticien informaticienne,مهندس في الإعلام الآلي
21909,Ingénieur d'intégration applicative,مهندس في إدماج مكونات الإعلام الآلي
21908,Ingénieur d'étude informatique,مهندس الدراسات المعلوماتية
21907,Ingénieur d'étude et développement informatique,مهندس الدراسات و التطوير المعلوماتي
21906,Ingénieur de développement informatique,مهندس في التطوير المعلوماتي
21905,Ingénieur de conception informatique,مهندس في التصميم المعلوماتي
21904,Ingénieur d'application informatique,مهندس في تطبيقات الإعلام الآلي
21903,Ingénieur analyste en système d'information,مهندس محلل في النظام المعلوماتي
21902,Informaticien de développement,أخصائي في الإعلام الآلي مكلف بالدراسة
21901,Informaticien d'application,أخصائي في تطوير المعلوماتية
21810,Informaticien chargé d'étude,أخصائي في تطبيقات الإعلام الآلي
21809,Développeur web,مطور مواقع الويب
21808,Développeur multimédia,مطور في الوسائل الإعلام المتعددة
21807,Développeur jeux vidéo,مطور ألعاب الفيديو
21806,Développeur informatique,مطور المعلوماتية
21805,Développeur ERP,مطور تخطيط موارد المؤسسة
21804,Développeur décisionnelBusiness Intelligence,مطور في الذكاء المعلوماتي
21803,Développeur d'application,مطور التطبيقات المعلوماتية
21802,Concepteur logiciel informatique,مصمم البرمجيات المعلوماتية
21801,Concepteur intégrateur informatique,مصمم مدمج مكونات الإعلام الآلي
21714,Concepteur développeur web,مصمم مطور مواقع الويب
21713,Concepteur développeur informatique,مصمم مطور في الإعلام الآلي
21712,Chef de projet maîtrise d'oeuvre informatique,رئيس مشروع معلوماتي
21711,Chef de projet étude et développement informatique,رئيس مشروع الدراسة و التطوير المعلوماتي
21710,Assistant chef de projet informatique,مساعد رئيس مشروع في الإعلام الآلي
21709,Analyste-programmeur informatique,محلل مبرمج في الإعلام الآلي
21708,Analyste test informatique,محلل في الاختبار المعلوماتي
21707,Analyste télématique,محلل المعلوماتية البعدية (تليماتيك)
21706,Analyste réseau informatique,محلل شبكة الإعلام الآلي
21705,Analyste organique informatique,محلل معمارية البرمجيات
21704,Analyste fonctionnel informatique,محلل النظم المعلوماتية
21703,Analyste développeur,محلل مطور البرامج المعلوماتية
21702,Analyste designer informatique,محلل مصمم في المعلوماتية
21701,Analyste décisionnelBusiness Intelligence,محلل في الذكاء المعلوماتي
21652,Analyste de gestion informatique,محلل التسيير في الإعلام الآلي
21651,Analyste d'application,محلل تطبيقات الإعلام الآلي
21650,Analyste concepteur informatique,محلل مصمم في الإعلام الآلي
21649,Technicien ingénierie réseaux de télécoms,تقني في هندسة شبكات الاتصالات
21648,Technicien en installation et maintenance réseaux télécoms,تقني في تركيب وصيانة شبكات الاتصالات
21647,Projeteur spécialisé réseaux télécoms,مهندس دراسات ومصمم شبكات الاتصالات
21646,Marketeur réseaux de télécoms,رئيس خلية صيانة وإنتاج الاتصالات
21645,Ingénieur validation réseaux de télécoms,مهندس المصادقة على شبكات الاتصالات
21644,Ingénieur télécoms,مهندس اتصالات
21643,Ingénieur télécommunication,مهندس الاتصالات اللاسلكية
21642,Ingénieur supervision réseaux télécoms sous-marins,مهندس الإشراف على شبكات الاتصالات تحت سطح المياه
21641,Ingénieur supervision réseaux télécoms,مهندس في الإشراف على شبكات الاتصالات
21640,Ingénieur réseaux télécoms,مهندس شبكات الاتصالات
21639,Ingénieur radio,مهندس راديو
21638,Ingénieur en architecture télécoms,مهندس في معمارية الاتصالات
21637,Ingénieur déploiement télécoms,مهندس نشر الاتصالات
21636,Ingénieur déploiement réseaux télécoms urbains,مهندس نشر شبكات الاتصالات الحضرية
21635,Ingénieur déploiement maintenance réseaux télécoms,مهندس نشر وصيانة شبكات الاتصالات
21634,Ingénieur d'études et support télécoms,مهندس الدراسات ووسائل الاتصالات
21633,Ingénieur d'études et conception réseaux télécoms,مهندس دراسات وتصميم شبكات الاتصالات
21632,Consultant télécoms,استشاري الاتصالات
21631,Chef de projet télécoms,رئيس مشروع الاتصالات
21630,Chargé réseaux télécoms sous-marins,مكلف بشبكات الاتصالات تحت سطح المياه
21629,Chargé d'opération réseaux de télécoms,مكلف بعمليات شبكات الاتصالات
21628,Chargé d'études et conception réseaux télécoms,مكلف بالدراسات وتصميم شبكات الاتصالات
21627,Chargé de planification réseaux de télécoms,مكلف بتخطيط شبكات الاتصالات
21626,Architecte réseaux de télécoms,مهندس شبكات الاتصالات
21625,Urbaniste des systèmes d'information,مهندس أنظمة المعلومات
21624,Responsable qualité des systèmes d'information,مدير جودة أنظمة المعلومات
21623,Responsable de projets « métiers » systèmes d'information,مدير مشروع أنظمة المعلومات لعمليات الأعمال
21622,"Responsable architecture, urbanisme et veille technologie IT",مدير هندسة التكنولوجيا والتخطيط التكنولوجي
21621,Maître d'ouvrage systèmes d'information,صاحب الأعمال أنظمة المعلومات
21620,Gestionnaire d'applications systèmes d'information,مدير تطبيقات أنظمة المعلومات
21619,Expert métier systèmes d'information,خبير في مجال أنظمة المعلومات
21618,Coordinateur de la maîtrise d'ouvrage des systèmes d'information,منسق متطلبات أنظمة المعلومات
21617,Consultant réseaux informatiques,استشاري شبكات الإعلام الآلي
21616,Consultant informatique,استشاري الإعلام الآلي
21615,Consultant fonctionnel des systèmes d'information,استشاري وظائف أنظمة المعلومات
21614,Consultant –ERP,استشاري في تخطيط موارد المؤسسة ERP
21613,Consultant en systèmes d'information,استشاري في أنظمة المعلومات
21612,Consultant en gestion de la relation client GRC/CRM,استشاري في إدارة العلاقات مع الزبائن GRC/CRM
21611,Consultant décisionnel,استشاري ذكاء الأعمال
21610,Chef de projet maîtrise d'ouvrage des systèmes d'information,مدير مشروع أنظمة المعلومات
21609,Chef de projet maîtrise d'ouvrage-MOA,مدير مشروع تكنولوجيا المعلومات
21608,Assistant maîtrise d'ouvrage des systèmes d'information,محلل أعمال أنظمة المعلومات
21607,Architecte systèmes et réseaux,مهندس أنظمة وشبكات
21606,Architecte fonctionnel de systèmes d'information,مهندس وظائف أنظمة المعلومات
21605,Architecte des systèmes d'information,مهندس أنظمة المعلومات
21604,Responsable sécurité informatique,مسؤول أمن المعلومات
21603,Ingénieur système réseau informatique,مهندس نظام الشبكة المعلوماتية
21602,Ingénieur système informatique,مهندس نظام المعلومات
21601,Ingénieur sécurité informatique,مهندس أمن المعلومات
21525,Ingénieur réseau informatique,مهندس شبكة المعلومات
21524,Ingénieur méthodes informatiques,مهندس أساليب المعلومات
21523,Expert système et réseaux,خبير في أنظمة وشبكات المعلومات
21522,Expert sécurité informatique,خبير في أمن المعلومات
21521,Expert réseaux et télécoms,خبير في الشبكات والاتصالات
21520,Expert méthodes et qualité informatique,خبير في أساليب وجودة المعلومات
21519,Expert en technologie Internet et multimédia,خبير في تكنولوجيا الإنترنت ووسائل الإعلام المتعددة
21518,Auditeur en systèmes d'information,مدقق نظام المعلومات
21517,Architecte systèmes d'information,مهندس نظام المعلومات
21516,Architecte système informatique,مهندس الأنظمة المعلوماتية
21515,Architecte réseaux informatiques,مهندس الشبكات المعلوماتية
21514,Architecte réseau et sécurité,مهندس في الشبكات والسلامة المعلوماتية
21513,Architecte multimédia,مهندس في وسائل الإعلام المتعددة
21512,Architecte de données informatiques,مهندس المعطيات المعلوماتية
21511,Architecte de bases de données,مهندس قاعدة البيانات المعلوماتية
21510,Éditeur(trice) de contenu pédagogique en ligne,محرر المحتوى التعليمي عبر الإنترنت
21509,Spécialiste en apprentissage en ligne,متخصص في التعلم عبر الإنترنت
21508,Responsable de la conception de programmes de formation en ligne,مسؤول عن تصميم البرامج التعليمية عبر الإنترنت
21507,Ingénieur(e) pédagogique numérique,مهندس تعليم رقمي
21506,Analyste de données de l'éducation en ligne,محلل بيانات التعليم عبر الإنترنت
21505,Développeur(se) de contenu de formation en ligne,مطور محتوى التعليم عبر الإنترنت
21504,Spécialiste en technologie de l'éducation,أخصائي تكنولوجيا التعليم
21503,Responsable de la formation en ligne,مدير التعليم عبر الإنترنت
21502,Concepteur(trice) de programmes de formation en ligne,مصمم برامج التعليم عبر الإنترنت
21501,Enseignant(e) en ligne,مدرس على الانترنت
21421,Consultant(e) en stratégie e-commerce,مستشار استراتيجية التجارة الإلكترونية
21420,Spécialiste en logistique e-commerce,متخصص في الخدمات اللوجستية للتجارة الإلكترونية
21419,Analyste de performance e-commerce,محلل أداء التجارة الإلكترونية
21418,Gestionnaire de campagnes publicitaires e-commerce,مدير الحملة الإعلانية للتجارة الإلكترونية
21417,Analyste de marché e-commerce,محلل سوق التجارة الإلكترونية
21416,Spécialiste en gestion de la relation client en ligne,متخصص في إدارة علاقات العملاء عبر الإنترنت
21415,Spécialiste en optimisation de la conversion,أخصائي تحسين التحويل
21414,Développeur(se) de sites e-commerce,مطور مواقع التجارة الإلكترونية
21413,Analyste e-commerce,محلل التجارة الإلكترونية
21412,Marketeur e-commerce,مسوق التجارة الالكترونية
21411,Architecte de solutions multicloud,مهندس الحلول السحابية المتعددة
21410,Ingénieur(e) en orchestration de conteneurs,مهندس تنظيم الحاويات
21409,Ingénieur(e) DevOps,مهندس ديف أوبس DevOps
21408,Développeur(se) cloud,مطور السحابة
21407,Spécialiste en gestion de données cloud,أخصائي إدارة البيانات السحابية
21406,Spécialiste en sécurité cloud,أخصائي الأمن السحابي
21405,Consultant(e) en migration vers le cloud,مستشار الهجرة السحابية
21404,Administrateur(trice) de système cloud,مسؤول النظام السحابي
21403,Architecte de solutions cloud,مهندس الحلول السحابية
21402,Ingénieur(e) cloud,مهندس السحابة
21401,Chercheur(euse) en cybersécurité,باحث في الأمن السيبراني 
21319,Spécialiste en conformité réglementaire en sécurité,أخصائي التطابق التنظيمي في مجال الامن السيبراني
21318,Spécialiste en analyse de risques,أخصائي تحليل المخاطر
21317,Auditeur(trice) en sécurité informatique,مدقق أمن تكنولوجيا المعلومات
21316,Spécialiste en gestion des identités et des accès,أخصائي في مجال الهويات والتصريح بالدخول
21315,Spécialiste en sécurité des systèmes,أخصائي أمن الأنظمة
21314,Ingénieur(e) en sécurité informatique,مهندس أمن تكنولوجيا المعلومات
21313,Expert(e) en sécurité des réseaux,خبير أمن الشبكات
21312,Responsable de la sécurité de l'information,مسؤول الأمن المعلوماتي
21311,Analyste de la cybersécurité,محلل الأمن السيبراني
21310,Spécialiste en visualisation de données,أخصائي تصور البيانات
21309,Spécialiste en stockage de données,أخصائي تخزين البيانات
21308,Spécialiste en exploration de données,أخصائي استخراج البيانات
21307,Ingénieur(e) de données,مهندس بيانات
21306,Data engineer,مهندس تطوير بيانات
21305,Data analyst,محلل بيانات
21304,Data scientist,عالم البيانات
21303,Architecte de solutions Big Data,مهندس حلول البيانات الضخمة
21302,Analyste de données massives,محلل البيانات الضخمة
21301,Ingénieur(e) en big data,مهندس بيانات ضخمة
21210,Développeur(se) de systèmes d'intelligence artificielle,مطور أنظمة الذكاء الاصطناعي
21209,Développeur(se) de chatbot,مطور الشات بوت Chat-bot 
21208,Spécialiste en reconnaissance vocale,أخصائي التعرف على الصوت
21207,Spécialiste en vision par ordinateur,أخصائي في تقنية الرؤية الحاسوبية
21206,Chercheur(euse) en intelligence artificielle,باحث في الذكاء الاصطناعي
21205,Architecte de solutions en intelligence artificielle,مهندس حلول الذكاء الاصطناعي
21204,Ingénieur(e) en apprentissage automatique,مهندس التعلم الآلي
21203,Ingénieur(e) en traitement du langage naturel,مهندس معالجة اللغات الطبيعية
21202,Ingénieur(e) en deep learning,مهندس التعلُّم العميق 
21201,Ingénieur(e) en machine learning,التعلم الآلي
21111,Ingénieur(e) en traitement de la langue naturelle,مهندس في معالجة اللغات الطبيعية
21110,Ingénieur(e) de la vision par ordinateur,مهندس رؤية الكمبيوتر
21109,Ingénieur(e) IoT (Internet des Objets),مهندس إنترنت الأشياء (إنترنت الأشياء)
21108,Développeur(se) de jeux vidéo,مطور ألعاب فيديو
21107,Développeur(se) de réalité augmentée,مطور الواقع المعزز
21106,Développeur(se) de blockchain,مطور Blockchain
21105,Ingénieur(e) en robotique,مهندس الروبوتات
21104,Spécialiste en réalité virtuelle,متخصص في الواقع الافتراضي
21103,Ingénieur(e) en intelligence artificielle,مهندس الذكاء الاصطناعي
21102,Spécialiste en service après-vente,اخصائي خدمات ما بعد البيع
21101,Spécialiste en fidélisation de la clientèle,أخصائي ولاء العملاء
21010,Analyste des performances de service client,محلل أداء خدمة العملاء
21009,Gestionnaire de projet de service client,مدير مشروع خدمة العملاء
21008,Spécialiste de l'expérience client,أخصائي تجربة العملاء
21007,Spécialiste en relations publiques en ligne,أخصائي العلاقات العامة عبر الإنترنت
21006,Gestionnaire de contenu en ligne,مدير المحتوى عبر الإنترنت
21005,Community manager,مسير محتوى عبر الأنترنيت
21004,Spécialiste en vente en ligne,متخصص في المبيعات عبر الإنترنت
21003,Spécialiste en communication client,أخصائي اتصالات العملاء
21002,Spécialiste du support technique,أخصائي دعم تقني
21001,Analyste de la cybersécurité,محلل الأمن السيبراني
20910,Architecte de solutions Cloud,مهندس الحلول السحابية
20909,Développeur(se) agile,مطور البرمجيات اللينة
20908,Scrum master,خبير سكروم scrum
20907,Chef(fe) de projet numérique,مدير مشروع رقمي
20906,Administrateur(trice) de base de données,مسؤول قاعدة البيانات 
20905,Analyste en sécurité informatique,محلل أمن تكنولوجيا المعلومات
20904,Analyste de la performance du site web,محلل أداء الموقع
20903,Consultant(e) en transformation numérique,استشاري في التحول الرقمي
20902,Gestionnaire de projet informatique,مدير مشروع تكنولوجيا المعلومات
20901,Analyste de données,محلل بيانات
20810,Spécialiste en stratégie de contenu,متخصص في استراتيجية المحتوى
20809,Planificateur(trice) de campagnes publicitaires numériques,مخطط حملات الإعلان الرقمي
20808,Consultant(e) en marketing numérique,استشاري التسويق الرقمي
20807,Analyste de données marketing,محلل بيانات التسويق
20806,Responsable marketing digital,مسؤول التسويق الرقمي
20805,Spécialiste en marketing d'influence,متخصص في تسويق التأثير
20804,Spécialiste en publicité en ligne,متخصص في الإعلان عبر الإنترنت
20803,Spécialiste en marketing sur les réseaux sociaux,متخصص في التسويق على وسائل التواصل الاجتماعي
20802,Spécialiste en marketing par e-mail,متخصص في التسويق عبر البريد الإلكتروني
20801,Spécialiste en référencement payant (SEA),مُتخصّص في التحسين المدفوع لمحركات البحث (SEA)
20710,Spécialiste en référencement naturel (SEO),مُتخصّص في التحسين الطبيعي لمحركات البحث (SEO)
20709,Créateur de contenu sur les réseaux sociaux,صانع محتوى على وسائل التواصل الاجتماعي
20708,Designer d'interfaces utilisateur pour l'IA,مصمم واجهة المستخدم بالذكاء الاصطناعي (IA)
20707,Designer de produits numériques,مصمم المنتجات الرقمية
20706,Designer 3D,مصمم ثلاثي الابعاد (3D)
20705,Designer de jeux vidéo,مصمم لعبة فيديو
20704,Motion designer,مصمم الحركة
20703,Infographiste,مصمم انفوجرافيك
20702,Illustrateur(trice),مصمم صور
20701,Designer web,مصمم ويب
20609,Designer UX/UI,مصمم تجربة المستخدم/واجهة المستخدم (UI/UX) 
20608,Designer graphique,مصمم جرافيك
20607,Développeur(se) Swift,مطور Swift
20606,Développeur(se) Ruby,مطور Ruby
20605,Développeur(se) JavaScript,مطور JavaScript
20604,Développeur(se) C++,مطور C++
20603,Développeur(se) PHP,مطور PHP
20602,Développeur(se) Java,مطور Java
20601,Développeur(se) Python,مطور Python
20511,Développeur(se) back-end,مطور الخلفية
20510,Développeur(se) front-end,مطور واجهة المستخدم
20509,Développeur(se) full-stack,مطور متعدد المهام Full-stack 
20508,Développeur(se) logiciel,مطور برمجيات
20507,Développeur(se) mobile,مطور تطبيقات الجوال
20506,Développeur(se) web,مطور ويب
20505,Protectionniste principal superviseur en météorologie,مشرف رئيسي على الوقاية في الأرصاد الجوية
20504,Protectionniste principal de la météorologie aéronautique,مكلف رئيسي بالوقاية في الأرصاد الجوية للطيران
20503,Protectionniste assistance en météorologie,مكلف بالوقاية في الأرصاد الجوية للمساعدة
20502,Protectionniste aéronautique en météorologie,مكلف بالوقاية في الأرصاد الجوية للطيران
20501,Prévisionniste principal médias en météorologie,مُتنبأ جوي رئيسي لوسائل الإعلام
20411,Prévisionniste principal assistance en météorologie,مُتنبأ جوي رئيسي للمساعدة في الأرصاد الجوية
20410,Prévisionniste principal aéronautique en météorologie,مُتنبأ جوي رئيسي للطيران
20409,Prévisionniste médias en météorologie,مُتنبأ جوي لوسائل الإعلام
20408,Prévisionniste général en météorologie,مُتنبأ جوي عام
20407,Prévisionniste assistance régionale en météorologie,مُتنبأ جوي إقليمي للمساعدة في الأرصاد الجوية
20406,Prévisionniste assistance en météorologie,مُتنبأ جوي للمساعدة في الأرصاد الجوية
20405,Prévisionniste aéronautique régional en météorologie,مُتنبأ جوي إقليمي للطيران
20404,Prévisionniste aéronautique en météorologie,مُتنبأ جوي للطيران
20403,Observateur principal instructeur en météorologie,ملاحظ جوي رئيسي مدرب في الأرصاد الجوية
20402,Observateur météorologique principal,ملاحظ جوي رئيسي
20401,Contrôleur d'observations météorologiques,مُراقب للملاحظات الجوية
20313,Assistant technique de climatologie,مساعد فني في علم المناخ
20312,Archiviste climatologique,مكلف بأرشيف البيانات المناخية
20311,Technicien supérieur en topographie et géodésie,تقني سامي في الطبوغرافيا والمساحة التطبيقية (الجيوديسيا)
20310,Technicien chargé des opérations de travaux cartographiques,تقني مكلف بعمليات الأشغال الخرائطية
20309,Opérateur photogrammètre,عامل المسح التصويري
20308,Ingénieur chargé de travaux cartographiques,مهندس مكلف بالأعمال الخرائطية
20307,Ingénieur financier,مهندس مالي
20306,Ingénieur opérations bourse,مهندس في تداولات البورصة
20305,Economiste de marché financier,اخصائي اقتصادي في السوق المالي
20304,Analyste risques financiers,محلل المخاطر المالية
20303,Analyste marché financier,محلل السوق المالي
20302,Analyste financier,محلل مالي
20301,Analyste économique,محلل اقتصادي
20212,Consultant en communication,استشاري في الاتصالات
20211,Assistant relations publiques,مساعد في العلاقات العامة
20210,Assistant relations presse,مساعد في العلاقات الصحفية
20209,Assistant de communication,مساعد في الاتصالات
20208,Technicien minéralogiste,تقني في جيولوجيا المعادن
20207,Technicien géophysique,تقني جيوفيزيائي
20206,Technicien géologue,تقني جيولوجي
20205,Technicien en valorisation géologique,تقني في التقييم الجيولوجي
20204,Technicien analyse en exploration pétrolière,تقني في تحليل الاستكشافات النفطية
20203,Superviseur géophysique,مشرف جيوفيزيائي
20202,Superviseur géologue,مشرف جيولوجي
20201,Sondeur géologue,اخصائي في السبر الجيولوجي
20113,Sismologue,اخصائي في علم الزلازل
20112,Séismologue,عالم الزلازل
20111,Pétrographe,اخصائي في الصخور الجيولوجية
20110,Minérallurgiste,اخصائي في جيولوجيا المعادن
20109,Ingénieur spécialiste en géophysique,مهندس خبير في الجيوفيزياء
20108,Ingénieur spécialiste en géologie,مهندس خبير في الجيولوجيا
20107,Ingénieur réservoir,مهندس في خزانات انتاج النفط
20106,Ingénieur hydrogéologue,مهندس هيدروجيولوجي
20105,Ingénieur géotechnicien,مهندس جيوتقني
20104,Ingénieur géophysicien,مهندس جيوفيزيائي
20103,Ingénieur géologue,مهندس جيولوجي
20102,Ingénieur expert en valorisation géologique,مهندس خبير في التقييم الجيولوجي
20101,Ingénieur expert en géophysique,مهندس خبير في الجيوفيزياء
11303,Ingénieur expert en géologie,مهندس خبير في الجيولوجيا
11302,Ingénieur des réservoirs et des boues,مهندس في خزانات انتاج النفط والطين
11301,"Ingénieur d’études en minéralogie, pétrographie",مهندس دراسات المعادن والصخور
11208,Ingénieur d’études en hydrogéologie,مهندس دراسات في الهيدروجيولوجيا
11207,Ingénieur d’études en géophysique,مهندس دراسات في الجيوفيزياء
11206,Ingénieur d’application en valorisation géologique,مهندس تطبيقي في التقييم الجيولوجي
