code_activity,name_activity,ar_name_activity
70509,Agent de sportif,وكيل رياضي
70508,Agent de mannequin,وكيل عارضة أزياء
70507,Agent d'artiste,وكيل فنان
70506,Agent artistique,وكيل فني
70505,Script télévision,سكريبت تلفزيون
70504,Script cinéma,سكريبت سينيمائي
70503,Script,سكريبت 
70502,Réalisateur télévision,مخرج تلفزيوني
70501,Réalisateur radio,مخرج راديو
70422,Réalisateur principal radio,مخرج راديو رئيسي
70421,Réalisateur secondaire de radio,مخرج إذاعي ثانوي
70420,Réalisateur d'émission de radio,مخرج برنامج إذاعي
70419,Réalisateur de vidéoclip,مخرج فيديو كليب
70418,Réalisateur de téléfilm,مخرج فيلم تلفزيوني
70417,Réalisateur de plateau,مخرج البلاتو
70416,Réalisateur de long métrage,مخرج أفلام طويلة
70415,Réalisateur de documentaire,مخرج أفلام وثائقية
70414,Réalisateur de court métrage,مخرج أفلام قصيرة
70413,Réalisateur cinéma,مخرج سينمائي
70412,Réalisateur audiovisuel,مخرج سمعي بصري
70411,Réalisateur,مخرج
70410,Premier assistant réalisateur,مساعد مخرج أول
70409,Deuxième assistant réalisateur,مساعد مخرج ثاني
70408,Assistant réalisateur radio,مساعد مخرج إذاعي
70407,Assistant réalisateur,مساعد مخرج
70406,Metteur en scène théâtre,مخرج عروض مسرحية
70405,Metteur en scène,مخرج عروض
70404,Co-metteur en scène,مخرج مشارك في العرض
70403,Assistant metteur en scène,مساعد مخرج العروض
70402,Technicien de production audiovisuelle,تقني الإنتاج السمعي البصري
70401,Superviseur de production audiovisuelle,مشرف الإنتاج السمعي البصري
70304,Secrétaire de production cinéma,سكرتير إنتاج سينمائي
70303,Responsable de la programmation de spectacle,مسؤول برمجة العروض
70302,Responsable de la programmation audiovisuelle,مسؤول البرمجة السمعية البصرية
70301,Programmateur radio,مبرمج اذاعي
70236,Programmateur de spectacle,مبرمج عروض
70235,Producteur télévision,منتج تلفزيوني
70234,Producteur radio,منتج إذاعي
70233,Producteur exécutif,منتج منفذ 
70232,Producteur délégué / assistant ,منتج مفوض/ مساعد 
70231,Producteur de spectacle,منتج العروض
70230,Producteur de musique,منتج الموسيقى
70229,Producteur cinéma,منتج سينمائي
70228,Gestionnaire de programmation audiovisuelle,مسير برمجة سمعية بصرية
70227,Directeur technique et artistique audiovisuel,مدير تقني سمعي بصري
70226,Chargé de la gestion musical,مكلف بالإدارة الموسيقية
70225,Chargé de la gestion du théâtre,مكلف بإدارة مسرح
70224,Chargé de production de spectacle,مكلف إنتاج العروض
70223,Chargé de production cinématographique,مكلف الإنتاج السينمائي
70222,Chargé de production audiovisuelle,مكلف بالإنتاج السمعي البصري
70221,Chargé des spectacles de la musique,مكلف بالعروض الموسيقية
70220,Chargé des spectacles de la danse,مكلف بالعروض الراقص
70219,Chargé de ballet,مكلف بالباليه
70218,Chargé d'antenne télévision,مكلف بالبث التلفزيوني
70217,Chargé d'antenne radio,مكلف بالبث الإذاعي
70216,Chargé artistique spectacle,مكلف فني بالعرض
70215,Conseiller de programme audiovisuel,مستشار البرامج السمعية والبصرية
70214,Assistant de production spectacle,مساعد إنتاج ا لعرض
70213,Assistant de production audiovisuelle,مساعد إنتاج سمعي بصري
70212,Chargé d'orchestre,مدير الأوركسترا
70211,Chargé de gestion de théâtre,مكلف بإدارة المسرح
70210,Chargé administrateur de production de spectacle,مكلف اداري بإنتاج ا لعروض
70209,Chargé administrateur de production cinéma,مكلف اداري بالإنتاج السينمائي
70208,Chargé administrateur de production audiovisuelle,مكلف اداري بالإنتاج السمعي البصري
70207,Scénariste,كاتب سيناريو
70206,Romancier,كاتب روائي
70205,Poète,شاعر
70204,Parolier,كاتب كلمات الأغاني
70203,Ecrivain,كاتب
70202,Directeur d'écriture de scénarios,مدير كتابة السيناريو
70201,Compositeur,ملحن
70121,Biographe littéraire,كاتب سيرة أدبية
70120,Biographe,كاتب سير الشخصيات
70119,Auteur-adaptateur,مؤلف مقتبس
70118,Auteur littéraire,مؤلف أعمال أدبية
70117,Auteur humoriste,مؤلف قصص هزلية
70116,Auteur écrivain multimédia,مؤلف كاتب متعدد الوسائط الإعلامية
70115,Auteur écrivain,كاتب أدبي
70114,Auteur dramatique,مؤلف درامي
70113,Auteur d'œuvre musicale avec ou sans paroles,مؤلف كلمات أو أعمال موسيقية
70112,Auteur d'oeuvre littéraire radiodiffusée,مؤلف الأعمال الأدبية للبث الإذاعي
70111,Auteur d'œuvre dramatique,مؤلف أعمال درامية
70110,Auteur d'œuvre dramaticomusicale,مؤلف أعمال الدراما الموسيقية
70109,Auteur Compositeur,مؤلف – ملحن
70108,Adaptateur-traducteur,مقتبس-مترجم
70107,Assistant service relations sociales,مساعد مصلحة العلاقات الاجتماعية
70106,Assistant ressources humaines,مساعد في الموارد البشرية
70105,Assistant du service gestion du personnel,مساعد في مصلحة تسيير المستخدمين
70104,Assistant de gestion en ressources humaines,مساعد في تسيير الموارد البشرية
70103,Assistant de gestion administrative du personnel,مساعد في التسيير الاداري للمستخدمين
70102,Assistant carrières et paie,مساعد في تسيير المسارات المهنية والأجور
70101,Assistant en gestion du personnel,مساعد في تسيير المستخدمين
63808,Technicien supérieur électromécanicien,تقني سامي في الكهروميكانيكا
63807,Technicien de maintenance électrique,تقني في الصيانة الكهربائية
63806,Responsable maintenance dépannage en électricité industrielle,مسؤول الصيانة وتصليح الاعطال في الكهرباء الصناعية
63805,Electrotechnicien de maintenance,كهروميكانيكي في الصيانة
63804,Electromécanicien d'entretien d'installations électriques,كهروميكانيكي في صيانة المنشآت الكهربائية
63803,Electromécanicien de signalisation basse et moyenne tension,كهروميكانيكي في إشارة الضغط المنخفض والمتوسط
63802,Electromécanicien de maintenance d'installations électriques,كهروميكانيكي في صيانة التركيبات الكهربائية
63801,Electricien de maintenance en équipements industriels,كهربائي في صيانة التجهيزات الصناعية
63707,Electricien de maintenance de centrales hydrauliques,كهربائي في صيانة المحطات الهيدروليكية
63706,Dépanneur électricien d'équipements industriels,مصلح كهربائي للتجهيزات الصناعية
63705,Thermicien de maintenance,مختص صيانة في الطاقة الحرارية
63704,Technicien thermicien de maintenance,مختص صيانة في الطاقة الحرارية
63703,Technicien de maintenance en chauffage,تقني صيانة في التدفئة
63702,Technicien d'exploitation de réseaux de chauffage,تقني استغلال في شبكات التدفئة
63701,Technicien d'entretien et d'exploitation de chauffage,تقني صيانة واستغلال في التدفئة
63611,Monteur-réparateur de chaudières,مركب-مصلح المسخنات الصناعية
63610,Monteur de chaudières industrielles,مركب المسخنات الصناعية
63609,Instrumentiste chauffagiste,مختص في التدفئة
63608,Electromécanicien de chauffage,كهروميكانيكي في التدفئة
63607,Agent technique de maintenance en chauffage,عوني تقني مكلف بالصيانة في مجال التدفئة
63606,Technicien réseaux et télécommunication d'entreprise,تقني شبكات واتصالات المؤسسة
63605,Technicien en télécommunications et réseaux d'entreprises,تقني في الاتصالات وشبكات المؤسسات
63604,Technicien en télécommunications,تقني في الاتصالات
63603,Technicien en radio communication courants faibles,تقني في راديو الاتصال-التيار المنخفض
63602,Technicien en radio communication,تقني في راديو الاتصال
63601,Technicien d'installation en télécommunications et radio,تقني تركيب في الاتصالات والراديو
63510,Technicien d'installation en télécommunications courants faibles,تقني تركيب في الاتصالات –التيار المنخفض
63509,Technicien d'installation en télécommunications,تقني تركيب في الاتصالات
63508,Technicien d'installation en courants faibles,تقني تركيب في التيارات المنخفضة
63507,Technicien d'installation de centrales téléphoniques,تقني تركيب مراكز هاتفية
63506,Technicien d'essais et de contrôle en télécommunication,تقني التجارب والمراقبة في الاتصالات
63505,Technicien de maintenance en téléphonie,تقني صيانة في مجال الهواتف
63504,Technicien de maintenance en télécommunications,تقني صيانة في الاتصالات
63503,Technicien de maintenance en systèmes d'alarme et de sécurité,تقني صيانة في أنظمة الإنذار والأمن
63502,Technicien de maintenance en installations de vidéo – surveillance,تقني صيانة في تركيبات المراقبة بالفيديو
63501,Technicien de maintenance des systèmes d'alarme et de télésurveillance,تقني صيانة أنظمة الإنذار والمراقبة عن بعد
63432,Technicien de maintenance des systèmes d'alarme,تقني صيانة أنظمة الإنذار
63431,Technicien de déploiement télécom,تقني تركيب في الاتصالات
63430,Superviseur des équipements de transmission,مشرف على تجهيزات الإرسال
63429,Monteur en paraboles et antennes,مركب في الصحون الهوائية والهوائيات
63428,Monteur d'installations en télécommunications et courant faibles,مركب التركيبات في الاتصالات والتيارات المنخفضة
63427,Installateur en télécommunication,مركب في الاتصالات
63426,Electro Mécanicien de maintenance sécurité,كهروميكانيكي صيانة أجهزة الأمان
63425,Electro Mécanicien de maintenance en téléphonie,كهروميكانيكي الصيانة في مجال الهاتف
63424,Antenniste,مختص هوائيات
63423,Aide monteur d'installations en télécommunications et courant faibles,مساعد مركب تثبيت في الاتصالات والتيار المنخفض
63422,Agent technique relève dérangements en télécommunications,تقني في صيانة تجهيزات الاتصالات
63421,Agent technique en télécommunications courants faibles,عون تقني في الاتصالات التيار المنخفض
63420,Agent technique en télécommunications,عون تقني في الاتصالات
63419,Agent de maintenance en systèmes d'alarme et de sécurité,عون صيانة في أنظمة الإنذار والأمان
63418,Technicien-cuisiniste en cuisines professionnelles,تقني – مطبخي في المطابخ المهنية
63417,Technicien supérieur de maintenance en exploitation climatique,تقني سامي في الصيانة تشغيل التكييف
63416,Technicien frigoriste,تقني اختصاصي تبريد
63415,Technicien en froid et climatisation,تقني في التبريد والتكييف
63414,Technicien en climatisation Service Après Vente-SAV-,تقني في خدمة ما بعد البيع في التكييف
63413,Technicien d'intervention et de maintenance en conditionnement d'air,تقني تدخل وصيانة في تكييف الهواء
63412,Technicien d'intervention en froid industriel,تقني تدخل في التبريد الصناعي
63411,Technicien d'intervention en froid et climatisation,تقني تدخل في التبريد والتكييف
63410,Technicien d'intervention en froid commercial et climatisation,تقني تدخل في التبريد التجاري والتكييف
63409,Technicien d'intervention en équipements de cuisines professionnelles,تقني تدخل في تجهيزات المطابخ المهنية
63408,Technicien de test final en installation et maintenance en froid,تقني التجربة النهائية في تركيب وصيانة التبريد
63407,Technicien de maintenance de système de filtration d'air,تقني في صيانة نظام تصفية الهواء
63406,Monteur-frigoriste,مركب اختصاصي تبريد
63405,Monteur-dépanneur frigoriste,مركب مصلح اختصاصي تبريد
63404,Monteur-dépanneur en installations de froid et climatisation,مركب مصلح في تركيب التبريد والتكييف
63403,Monteur-dépanneur en installations climatiques,مركب مصلح في تركيب التكييف
63402,Monteur en gaines de ventilation,مركب في قنوات الهواء
63401,Monteur en conditionnement d'air,مركب في تكييف الهواء
63332,Mécanicien de maintenance des systèmes climatiques et frigorifiques,ميكانيكي صيانة أنظمة التكييف والتبريد
63331,Frigoriste maritime,اختصاصي تبريد بحري
63330,Frigoriste,اختصاصي تبريد
63329,Dépanneur en installations de froid et climatisation,مصلح في تركيب التبريد والتكييف
63328,Conducteur d'installations frigorifiques,قائد تركيبات التبريد
63327,Chef d'équipe de maintenance en froid et climatisation,رئيس فريق الصيانة في التبريد والتكييف
63326,Agent technicien en froid et climatisation,عون تقني في التبريد والتكييف
63325,Agent d'encadrement en froid et conditionnement d'air,عون تأطير في التبريد، تكييف الهواء
63324,Agent de test en installation et maintenance en froid,عون تجريب في التركيب والصيانة في التبريد
63323,Agent de montage frigoriste,عون تركيب اختصاصي تبريد
63322,Agent de maintenance en génie climatique,عون صيانة في هندسة التكييف والتبريد
63321,Agent de maintenance en conditionnement d'air,عون صيانة في تكييف الهواء
63320,Agent de maintenance en climatisation,عون صيانة في التبريد
63319,Agent d'inspection en installation et maintenance en froid,عون تفتيش في التركيب والصيانة في التبريد
63318,Technicien supérieur électronicien de maintenance électronique,تقني سامي في إلكترونيات الصيانة الإلكترونية
63317,Technicien supérieur électronicien de maintenance de cartes électroniques,تقني سامي في إلكترونيات صيانة البطاقات إلكترونية
63316,Technicien d'entretien d'appareillages de mesure et de régulation,تقني في صيانة تجهيزات القياس والضبط
63315,Technicien de maintenance radar,تقني في صيانة أنظمة الرادار
63314,Technicien de maintenance en sonorisation,تقني في صيانة العتاد الصوتي
63313,Technicien de maintenance en matériel optoélectronique,تقني في صيانة العتاد البصري
63312,Technicien de maintenance en matériel médical,تقني في صيانة المعدات الطبية
63311,Technicien de maintenance en matériel de radiologie,تقني في صيانة معدات التصوير بالأشعة
63310,Technicien de maintenance en matériel biomédical,تقني في صيانة المعدات البيو طبية
63309,Technicien de maintenance en électronique,تقني في الصيانة الإلكترونية
63308,Technicien de maintenance de systèmes optroniques,تقني في صيانة الأنظمة البصرية
63307,Technicien de maintenance de systèmes laser,تقني في صيانة أنظمة الليزر
63306,Technicien de maintenance de systèmes de détection,تقني في صيانة أنظمة الكشف
63305,Technicien de maintenance de cartes électroniques,تقني في صيانة البطاقات الإلكترونية
63304,Régleur-étalonneur en électronique,معاير-مضبط في مجال الإلكترونيات
